Inducer,Plasmid,Regulator,Promoter,ymax (RPU),ymin (RPUx10-3),K (µM),n,Dynamic range,start,ymax Linear,std
DAPG,pAJM.847,PhlFAM,PPhlF,2.5,2.5,1.7,2.1,1000,0.03,2.0,0.7882916792646494
Cuma,pAJM.657,CymRAM,PCymRC,3.7,4.3,8.9,2.4,870,0.3,2.0,0.7178058592376267
OC6,pAJM.474,LuxR,PLuxB,1.3,2.4,0.12,1.8,540,0.002,0.5,0.7013527622620093
Van,pAJM.773,VanRAM,PVanCC,3.0,2.4,26.0,2.3,1200,1.0,1.8,0.7945332967555274
IPTG,pAJM.336,LacIAM,PTac,3.3,4.8,140.0,1.8,690,2.0,1.5,0.7271762216311201
aTc,pAJM.011,TetR,PTet*,2.4,4.9,0.013,3.8,500,0.0018,1.0,0.7584072383926745
Ara,pAJM.677,AraCAM,PBAD,1.2,2.4,37.0,1.5,500,0.2,0.7,0.7291948904222073
Cho,pAJM.683,BetIAM,PBetI,2.6,8.5,4100.0,2.7,310,300.0,0.9,0.7580287239846012
Nar,pAJM.661,TtgRAM,PTtg,0.46,3.4,95.0,1.9,140,2.0,0.2,0.7645851813707486
DHBA,pAJM.690,PcaUAM,P3B5B,1.6,4.5,370.0,1.8,360,9.0,1.0,0.7109211767886509
Sal,pAJM.771,NahRAM,PSalTTC,2.8,4.7,43.0,1.8,600,0.9,1.3,0.731964733304833
OHC14,pAJM.1642,CinRAM,PCin,1.5,3.0,0.43,2.3,490,0.016,0.7,0.756888734897457
Acr,pAJM.884,AcuRAM,PAcu,3.1,37.0,130.0,2.5,83,10.0,1.7,0.7441176938741347
Ery,pAJM.969,MphRAM,PMph,0.29,8.0,65.0,1.5,36,2.0,0.18,0.7352375639136706
